pair,cohens_d_logRB,magnitude
Brackish vs DUO,0.9160461292547453,LARGE
Brackish vs RUOD_train,0.03590684940422834,~none
Brackish vs SUODAC_type1,-3.3431393057550354,LARGE
Brackish vs SUODAC_type2,-16.071119320595486,LARGE
Brackish vs SUODAC_type3,-3.127892427724477,LARGE
Brackish vs SUODAC_type4,2.6125400892691495,LARGE
Brackish vs SUODAC_type5,16.26869941083585,LARGE
Brackish vs SUODAC_type6,-10.591083939962026,LARGE
Brackish vs SUODAC_type7,41.729944405266124,LARGE
DUO vs RUOD_train,-0.8525226330118687,LARGE
DUO vs SUODAC_type1,-1.1009285865755432,LARGE
DUO vs SUODAC_type2,-1.8876711078606685,LARGE
DUO vs SUODAC_type3,-1.0948415453448324,LARGE
DUO vs SUODAC_type4,-0.8198145246334667,LARGE
DUO vs SUODAC_type5,0.29022795453139005,small
DUO vs SUODAC_type6,-4.607642549522611,LARGE
DUO vs SUODAC_type7,3.7785874596086737,LARGE
RUOD_train vs SUODAC_type1,-0.5593704346565845,small
RUOD_train vs SUODAC_type2,-2.7730032549787476,LARGE
RUOD_train vs SUODAC_type3,-0.5420739283051036,small
RUOD_train vs SUODAC_type4,0.236963146824366,small
RUOD_train vs SUODAC_type5,3.3326825258628654,LARGE
RUOD_train vs SUODAC_type6,-7.793825001245646,LARGE
RUOD_train vs SUODAC_type7,12.769796333661525,LARGE
SUODAC_type1 vs SUODAC_type2,-10.59770682415582,LARGE
SUODAC_type1 vs SUODAC_type3,0.08312105291147025,~none
SUODAC_type1 vs SUODAC_type4,4.977324009191536,LARGE
SUODAC_type1 vs SUODAC_type5,16.23488091163285,LARGE
SUODAC_type1 vs SUODAC_type6,-10.03496673435388,LARGE
SUODAC_type1 vs SUODAC_type7,40.52935844331594,LARGE
SUODAC_type2 vs SUODAC_type3,10.474625403495933,LARGE
SUODAC_type2 vs SUODAC_type4,17.3771716979909,LARGE
SUODAC_type2 vs SUODAC_type5,24.47383580307573,LARGE
SUODAC_type2 vs SUODAC_type6,-7.950015417239823,LARGE
SUODAC_type2 vs SUODAC_type7,46.13822820735876,LARGE
SUODAC_type3 vs SUODAC_type4,4.71534552603872,LARGE
SUODAC_type3 vs SUODAC_type5,15.932249536189289,LARGE
SUODAC_type3 vs SUODAC_type6,-10.043148638007851,LARGE
SUODAC_type3 vs SUODAC_type7,40.18327925807867,LARGE
SUODAC_type4 vs SUODAC_type5,14.811864756052817,LARGE
SUODAC_type4 vs SUODAC_type6,-10.840724881709937,LARGE
SUODAC_type4 vs SUODAC_type7,40.68861850957961,LARGE
SUODAC_type5 vs SUODAC_type6,-13.579566252281056,LARGE
SUODAC_type5 vs SUODAC_type7,26.883601089610647,LARGE
SUODAC_type6 vs SUODAC_type7,22.178436483871593,LARGE
